공고ID,프로그램명,분야,지역,모집인원,활동요일,마감일,상태
V2025-001,다문화 한국어교실,교육,경남,100,수,2025-10-14,모집중
V2025-002,결식아동 도시락,사회복지,부산,50,토,2025-11-28,모집중
V2025-003,어르신 디지털교육,교육,울산,10,토,2025-12-05,모집중
V2025-004,독거어르신 안부확인,사회복지,대구,10,월,2025-11-07,모집중
V2025-005,전통문화 체험,문화,대구,10,수,2025-11-14,모집중
V2025-006,해변 쓰레기 수거,환경,전북,15,일,2025-11-25,모집중
V2025-007,데이터 입력지원,생활편의,강원,10,화,2025-10-19,모집중
V2025-008,생활안전 순찰,지역안전,울산,100,토,2025-12-07,모집중
V2025-009,데이터 입력지원,생활편의,경남,100,일,2025-12-17,마감
V2025-010,독거어르신 안부확인,사회복지,전북,30,금,2025-10-16,마감
V2025-011,행정업무 보조,생활편의,제주,15,수,2025-10-08,마감
V2025-012,재능기부 매칭,자원봉사,경기,20,목,2025-12-28,모집중
V2025-013,나눔장터 운영,자원봉사,전북,20,목,2025-10-14,마감
V2025-014,데이터 입력지원,생활편의,전남,50,월,2025-11-05,모집중
V2025-015,도시숲 가꾸기,환경,서울,20,화,2025-11-11,모집중
V2025-016,지역축제 운영지원,문화,서울,50,금,2025-12-18,모집중
V2025-017,다문화 한국어교실,교육,강원,15,월,2025-10-05,마감
V2025-018,무인민원 안내,생활편의,전남,50,화,2025-10-23,모집중
V2025-019,해변 쓰레기 수거,환경,대전,50,목,2025-12-14,모집중
V2025-020,무인민원 안내,생활편의,울산,100,수,2025-11-11,모집중
V2025-021,하천 정화활동,환경,경북,10,화,2025-10-23,모집중
V2025-022,다문화 한국어교실,교육,대구,50,수,2025-10-20,모집중
V2025-023,생활안전 순찰,지역안전,경북,30,수,2025-11-12,모집중
V2025-024,어르신 디지털교육,교육,울산,20,목,2025-10-02,마감
V2025-025,지역축제 운영지원,문화,부산,5,월,2025-12-16,모집중
V2025-026,재능기부 매칭,자원봉사,울산,50,월,2025-11-02,마감
V2025-027,결식아동 도시락,사회복지,인천,50,목,2025-11-18,모집중
V2025-028,어르신 디지털교육,교육,전북,10,수,2025-10-02,모집중
V2025-029,문화재 해설,문화,강원,15,수,2025-11-09,마감
V2025-030,생활안전 순찰,지역안전,대구,10,목,2025-11-16,마감
V2025-031,생활안전 순찰,지역안전,충북,30,화,2025-10-10,모집중
V2025-032,하천 정화활동,환경,대구,5,금,2025-10-28,모집중
V2025-033,독거어르신 안부확인,사회복지,경남,15,토,2025-12-01,모집중
V2025-034,공연 보조,문화,경기,10,목,2025-12-02,모집중
V2025-035,전통문화 체험,문화,전남,20,일,2025-11-04,마감
V2025-036,등하굣길 안전지도,지역안전,전남,20,일,2025-12-06,모집중
V2025-037,봉사활동 홍보,자원봉사,광주,50,수,2025-12-23,마감
V2025-038,봉사활동 홍보,자원봉사,전북,30,목,2025-10-03,모집중
V2025-039,어르신 디지털교육,교육,서울,10,수,2025-11-25,모집중
V2025-040,데이터 입력지원,생활편의,제주,30,토,2025-11-13,모집중
